Stop_Name,Stop_ID,latitude,longitude
MILLI EGEMENLIK CD-1,10328,36.8896096,30.6969414
TEOMANPASA CD-1,10329,36.8890831,30.6939224
TEOMANPASA CD-2,10330,36.8886526,30.6915059
TEOMANPASA CD-3,10331,36.8880749,30.6877699
GAZI LISESI ,10332,36.8875084,30.6845234
2979 SK,10333,36.9298686,30.6917773
EGITIM ARASTIRMA HASTANESI,10334,36.8908402,30.676355
MELTEM BLV-4,10336,36.892633,30.6729706
MELTEM BLV-5,10337,36.8926704,30.6697142
8.CD-1,10338,36.8917199,30.6673184
STADYUM,10339,36.8879856,30.6668995
2979 SK,10340,36.9298569,30.6919316
KONYAALTI KAYMAKAMLIGI,10341,36.8767742,30.6421013
19.CD-5,10342,36.8757124,30.6366634
19.CD-6,10343,36.872334,30.6329211
CAMLIK CD-2,10344,36.8734022,30.6314002
2970 SK,10345,36.9305054,30.6944314
GAZI MUSTAFA KEMAL BLV-4,10346,36.8718622,30.6271405
GAZI MUSTAFA KEMAL BLV-5,10347,36.8688068,30.6300019
GAZI MUSTAFA KEMAL BLV-6,10348,36.8661578,30.6324706
353 SK-1,10349,36.8645317,30.6246575
344 SK-1,10350,36.8681575,30.6252642
344 SK-2,10351,36.8691024,30.6280328
ANADOLU CD,10352,36.8701787,30.6297973
17.CD-1,10353,36.8750329,30.6369277
17.CD-2,10354,36.8750117,30.6403176
6.CD,10355,36.8734016,30.6467723
DEFTERDARLIK BLV-1,10356,36.8922672,30.6768336
DEFTERDARLIK BLV-2,10357,36.892196,30.6788739
YILDIZ CD-1,10358,36.8923508,30.6818152
YILDIZ CD-2,10359,36.8926876,30.6845415
YILDIZ CD-3,10360,36.8928069,30.6864336
TONGUC CD-1,10361,36.8934311,30.6890914
TONGUC CD-2,10362,36.8941989,30.6914023
AYDIN KANZA PARKI,10363,36.8924906,30.6937834
YUZUNCUYIL,10364,36.891989,30.6990601
MURATPASA,10366,36.8936139,30.7044791
EVLIYA CELEBI CD-2,10367,36.8989216,30.7082122
FETTAHLI CD,10368,36.987935,30.8018646
FATIH CD-5,10369,36.9058821,30.7000889
KEZIBAN ISMAIL ERTEN ILKOKULU,10370,36.9856812,30.8046809
KONUKSEVER MH-1,10371,36.9081997,30.7065449
KARACAOGLAN CD-3,10372,36.9043642,30.7101905
KEZIBAN ISMAIL ERTEN ILKOKULU,10373,36.9859018,30.8046581
KIZILIRMAK CD-4,10374,36.9034368,30.7160238
KIZILIRMAK CD-5,10375,36.8994349,30.7152364
BUYUKSEHIR BELEDIYESI,10376,36.895926,30.708739
BESSEHITLER PARKI,10378,36.8922183,30.6941419
TONGUC CD-9,10379,36.8943956,30.691289
TONGUC CD-10,10380,36.8938135,30.6895437
YILDIZ CD-4,10381,36.8930395,30.6869675
YILDIZ CD-6,10383,36.8925578,30.6816319
DEFTERDARLIK BLV-3,10384,36.8924593,30.6784785
17.CD-3,10385,36.8751399,30.6404659
353 SK-4,10388,36.8640079,30.6246792
29.CD-1,10390,36.8763822,30.6263863
29.CD-2,10391,36.8790887,30.6262328
24.CD-3,10393,36.8850602,30.6259695
UNCALI CEVIK KUVVET,10395,36.8919013,30.6264707
UNCALI CD-2,10396,36.8942114,30.6278892
EMNIYET CD-3,10397,36.893587,30.6302284
1346 SK-4,10399,36.889041,30.6301057
1346 SK-1,10400,36.889734,30.630328
UNCALI CD-5,10402,36.8938509,30.6272522
UNCALI CEVIK KUVVET,10403,36.8925645,30.6265695
24.CD-4,10405,36.8857266,30.6257491
24.CD-5,10407,36.8801582,30.6259195
24.CD-6,10408,36.8783438,30.6260233
24.CD-7,10409,36.8758609,30.6261679
ALI CETINKAYA CD-3,10412,36.8880511,30.7228275
ALI CETINKAYA CD-4,10413,36.8867638,30.7270127
MEYDAN ,10414,36.8870553,30.7335504
ASPENDOS BLV-17,10415,36.8878916,30.7370297
ASPENDOS BLV-16,10416,36.8887455,30.7405277
ASPENDOS BLV-15,10417,36.8896909,30.74412
ASPENDOS BLV-13,10418,36.8909704,30.7493836
YALI CD-18,10422,36.8615269,30.7662911
YALI CD-17,10423,36.8606536,30.7688579
YALI CD-9,10424,36.8604462,30.7699035
YALI CD-15,10425,36.861265,30.773375
GUZELOLUK MH-14,10426,36.875514,30.7604522
HAVAALANI CD-1,10428,36.8605869,30.7912677
YALI CD-13,10430,36.8653788,30.7785849
YALI CD-8,10433,36.8615094,30.7659011
GUZELOLUK MH-12,10434,36.8719094,30.76343
GUZELOLUK MH-13,10436,36.8733106,30.7629446
ASPENDOS BLV-6,10438,36.8912377,30.7493338
ASPENDOS BLV-4,10439,36.8897835,30.7435144
ASPENDOS BLV-2,10440,36.8882084,30.7370623
ASPENDOS BLV-1,10441,36.887629,30.734525
ALI CETINKAYA CD-2,10442,36.8869462,30.7271426
ALI CETINKAYA CD-1,10443,36.8882813,30.7232536
138 SK-1,10446,36.8401715,30.5893439
153 SK-1,10447,36.8426267,30.5927517
164 SK,10448,36.8451183,30.5958859
169 SK-1,10449,36.8484383,30.5963699
252 SK-2,10452,36.8576425,30.6011883
252 SK-3,10453,36.858533,30.603811
BOGACAY CD-9,10454,36.8588247,30.6060131
BOGACAY CD-10,10455,36.8568831,30.608741
BOGACAY CD-11,10456,36.8553655,30.6109993
33 SK,10457,36.8480333,30.6071676
NARENCIYE CD-3,10458,36.8815306,30.7200841
NARENCIYE CD-4,10459,36.8809696,30.7218972
AVNI TOLUNAY CD-2,10460,36.8788142,30.7245224
AVNI TOLUNAY CD-3,10461,36.8751967,30.7284563
FETTAHLI,10462,36.9911219,30.8114334
AVNI TOLUNAY CD-4,10463,36.8721182,30.7319645
SINANOGLU CD-1,10464,36.8690833,30.7352765
SINANOGLU CD-12,10465,36.8689756,30.7357578
AVNI TOLUNAY CD-5,10466,36.8717295,30.7326924
AVNI TOLUNAY CD-6,10468,36.8755469,30.7283678
AVNI TOLUNAY CD-7,10469,36.8789334,30.7247764
NARENCIYE CD-2,10470,36.8816209,30.7204906
BOGACAY CD-1,10471,36.8533925,30.6141788
BOGACAY CD-2,10472,36.855539,30.6111212
BOGACAY CD-3,10473,36.8570478,30.6089339
BOGACAY CD-4,10474,36.8591284,30.6059568
252 SK-4,10475,36.8583749,30.6030323
FETTAHLI,10476,36.9943546,30.8161339
SEYIT ONBASI PARKI,10477,36.8444303,30.5955908
HURMA MEZARLIGI,10478,36.8613957,30.5976141
ALICIKLER CD,10479,36.9840892,30.8182649
277 SK-1,10480,36.8550458,30.6018859
ISMAIL OGAN CD,10482,36.9760275,30.8317202
PORTAKAL CICEGI CD-5,10483,36.8736296,30.7199228
PORTAKAL CICEGI CD-6,10484,36.8735784,30.7222516
PORTAKAL CICEGI CD-7,10485,36.8735644,30.7251472
PORTAKAL CICEGI CD-8,10486,36.8734236,30.7283195
SINANOGLU CD-2,10487,36.867029,30.7378593
SINANOGLU CD-3,10488,36.8655975,30.7397364
SINANOGLU CD-4,10489,36.864044,30.74236
SINANOGLU CD-5,10490,36.8616649,30.744386
SINANOGLU CD-6,10491,36.8591661,30.7456026
SINANOGLU CD-7,10492,36.8589644,30.7459006
SINANOGLU CD-8,10493,36.8618502,30.7445127
SINANOGLU CD-9,10494,36.864407,30.7422057
SINANOGLU CD-10 ,10495,36.8659262,30.7396714
SINANOGLU CD-11,10496,36.8671895,30.7380147
PORTAKAL CICEGI CD-1,10498,36.8735606,30.7287944
PORTAKAL CICEGI CD-2,10499,36.8737568,30.7251
PORTAKAL CICEGI CD-3,10500,36.8737705,30.7222706
PORTAKAL CICEGI CD-4,10501,36.8737933,30.7193103
CEBESOY CD-7,10502,36.8752692,30.7169691
CEBESOY CD-8,10503,36.8772486,30.7146977
